Timestamp,Sensor,Temperature
2024-09-10 11:53:55,extruder,25.57
2024-09-10 11:53:55,extruder1,61.62
2024-09-10 11:53:55,extruder2,24.64
2024-09-10 11:53:55,heater_bed,25.58
2024-09-10 11:53:57,extruder,25.57
2024-09-10 11:53:57,extruder1,61.62
2024-09-10 11:53:57,extruder2,24.64
2024-09-10 11:53:57,heater_bed,25.6
2024-09-10 11:53:58,extruder,25.56
2024-09-10 11:53:58,extruder1,61.76
2024-09-10 11:53:58,extruder2,24.63
2024-09-10 11:53:58,heater_bed,25.61
2024-09-10 11:53:59,extruder,25.58
2024-09-10 11:53:59,extruder1,61.95
2024-09-10 11:53:59,extruder2,24.65
2024-09-10 11:53:59,heater_bed,25.59
2024-09-10 11:54:00,extruder,25.58
2024-09-10 11:54:00,extruder1,62.08
2024-09-10 11:54:00,extruder2,24.64
2024-09-10 11:54:00,heater_bed,25.59
2024-09-10 11:54:02,extruder,25.57
2024-09-10 11:54:02,extruder1,62.14
2024-09-10 11:54:02,extruder2,24.64
2024-09-10 11:54:02,heater_bed,25.57
2024-09-10 11:54:03,extruder,25.59
2024-09-10 11:54:03,extruder1,62.3
2024-09-10 11:54:03,extruder2,24.63
2024-09-10 11:54:03,heater_bed,25.59
2024-09-10 11:54:04,extruder,25.58
2024-09-10 11:54:04,extruder1,62.47
2024-09-10 11:54:04,extruder2,24.65
2024-09-10 11:54:04,heater_bed,25.6
2024-09-10 11:54:05,extruder,25.56
2024-09-10 11:54:05,extruder1,62.62
2024-09-10 11:54:05,extruder2,24.64
2024-09-10 11:54:05,heater_bed,25.61
2024-09-10 11:54:07,extruder,25.57
2024-09-10 11:54:07,extruder1,62.77
2024-09-10 11:54:07,extruder2,24.63
2024-09-10 11:54:07,heater_bed,25.58
2024-09-10 11:54:08,extruder,25.56
2024-09-10 11:54:08,extruder1,62.9
2024-09-10 11:54:08,extruder2,24.66
2024-09-10 11:54:08,heater_bed,25.57
2024-09-10 11:54:09,extruder,25.56
2024-09-10 11:54:09,extruder1,63.01
2024-09-10 11:54:09,extruder2,24.65
2024-09-10 11:54:09,heater_bed,25.58
2024-09-10 11:54:10,extruder,25.58
2024-09-10 11:54:10,extruder1,63.14
2024-09-10 11:54:10,extruder2,24.65
2024-09-10 11:54:10,heater_bed,25.57
2024-09-10 11:54:12,extruder,25.56
2024-09-10 11:54:12,extruder1,63.3
2024-09-10 11:54:12,extruder2,24.65
2024-09-10 11:54:12,heater_bed,25.58
2024-09-10 11:54:13,extruder,25.58
2024-09-10 11:54:13,extruder1,63.52
2024-09-10 11:54:13,extruder2,24.65
2024-09-10 11:54:13,heater_bed,25.6
2024-09-10 11:54:14,extruder,25.57
2024-09-10 11:54:14,extruder1,63.76
2024-09-10 11:54:14,extruder2,24.67
2024-09-10 11:54:14,heater_bed,25.59
2024-09-10 11:54:16,extruder,25.57
2024-09-10 11:54:16,extruder1,64.0
2024-09-10 11:54:16,extruder2,24.65
2024-09-10 11:54:16,heater_bed,25.58
2024-09-10 11:54:17,extruder,25.55
2024-09-10 11:54:17,extruder1,64.3
2024-09-10 11:54:17,extruder2,24.68
2024-09-10 11:54:17,heater_bed,25.59
2024-09-10 11:54:18,extruder,25.57
2024-09-10 11:54:18,extruder1,64.46
2024-09-10 11:54:18,extruder2,24.66
2024-09-10 11:54:18,heater_bed,25.59
2024-09-10 11:54:19,extruder,25.57
2024-09-10 11:54:19,extruder1,64.65
2024-09-10 11:54:19,extruder2,24.66
2024-09-10 11:54:19,heater_bed,25.6
2024-09-10 11:54:21,extruder,25.58
2024-09-10 11:54:21,extruder1,64.93
2024-09-10 11:54:21,extruder2,24.66
2024-09-10 11:54:21,heater_bed,25.59
2024-09-10 11:54:22,extruder,25.54
2024-09-10 11:54:22,extruder1,65.23
2024-09-10 11:54:22,extruder2,24.67
2024-09-10 11:54:22,heater_bed,25.57
2024-09-10 11:54:23,extruder,25.55
2024-09-10 11:54:23,extruder1,65.56
2024-09-10 11:54:23,extruder2,24.67
2024-09-10 11:54:23,heater_bed,25.59
2024-09-10 11:54:24,extruder,25.57
2024-09-10 11:54:24,extruder1,65.87
2024-09-10 11:54:24,extruder2,24.65
2024-09-10 11:54:24,heater_bed,25.58
2024-09-10 11:54:26,extruder,25.56
2024-09-10 11:54:26,extruder1,66.21
2024-09-10 11:54:26,extruder2,24.66
2024-09-10 11:54:26,heater_bed,25.57
2024-09-10 11:54:27,extruder,25.56
2024-09-10 11:54:27,extruder1,66.37
2024-09-10 11:54:27,extruder2,24.68
2024-09-10 11:54:27,heater_bed,25.6
2024-09-10 11:54:28,extruder,25.58
2024-09-10 11:54:28,extruder1,66.39
2024-09-10 11:54:28,extruder2,24.68
2024-09-10 11:54:28,heater_bed,25.59
2024-09-10 11:54:29,extruder,25.56
2024-09-10 11:54:29,extruder1,66.54
2024-09-10 11:54:29,extruder2,24.69
2024-09-10 11:54:29,heater_bed,25.59
2024-09-10 11:54:31,extruder,25.56
2024-09-10 11:54:31,extruder1,66.86
2024-09-10 11:54:31,extruder2,24.67
2024-09-10 11:54:31,heater_bed,25.56
2024-09-10 11:54:32,extruder,25.57
2024-09-10 11:54:32,extruder1,67.16
2024-09-10 11:54:32,extruder2,24.68
2024-09-10 11:54:32,heater_bed,25.59
2024-09-10 11:54:33,extruder,25.58
2024-09-10 11:54:33,extruder1,67.43
2024-09-10 11:54:33,extruder2,24.66
2024-09-10 11:54:33,heater_bed,25.58
2024-09-10 11:54:34,extruder,25.58
2024-09-10 11:54:34,extruder1,67.77
2024-09-10 11:54:34,extruder2,24.65
2024-09-10 11:54:34,heater_bed,25.57
2024-09-10 11:54:36,extruder,25.61
2024-09-10 11:54:36,extruder1,68.1
2024-09-10 11:54:36,extruder2,24.66
2024-09-10 11:54:36,heater_bed,25.59
2024-09-10 11:54:37,extruder,25.6
2024-09-10 11:54:37,extruder1,68.41
2024-09-10 11:54:37,extruder2,24.65
2024-09-10 11:54:37,heater_bed,25.57
2024-09-10 11:54:38,extruder,25.56
2024-09-10 11:54:38,extruder1,68.86
2024-09-10 11:54:38,extruder2,24.67
2024-09-10 11:54:38,heater_bed,25.59
2024-09-10 11:54:39,extruder,25.59
2024-09-10 11:54:39,extruder1,69.22
2024-09-10 11:54:39,extruder2,24.71
2024-09-10 11:54:39,heater_bed,25.59
2024-09-10 11:54:41,extruder,25.57
2024-09-10 11:54:41,extruder1,69.6
2024-09-10 11:54:41,extruder2,24.67
2024-09-10 11:54:41,heater_bed,25.59
2024-09-10 11:54:42,extruder,25.57
2024-09-10 11:54:42,extruder1,69.91
2024-09-10 11:54:42,extruder2,24.67
2024-09-10 11:54:42,heater_bed,25.59
2024-09-10 11:54:43,extruder,25.56
2024-09-10 11:54:43,extruder1,70.11
2024-09-10 11:54:43,extruder2,24.69
2024-09-10 11:54:43,heater_bed,25.57
2024-09-10 11:54:44,extruder,25.55
2024-09-10 11:54:44,extruder1,70.4
2024-09-10 11:54:44,extruder2,24.7
2024-09-10 11:54:44,heater_bed,25.59
2024-09-10 11:54:46,extruder,25.57
2024-09-10 11:54:46,extruder1,70.7
2024-09-10 11:54:46,extruder2,24.69
2024-09-10 11:54:46,heater_bed,25.6
2024-09-10 11:54:47,extruder,25.57
2024-09-10 11:54:47,extruder1,71.02
2024-09-10 11:54:47,extruder2,24.66
2024-09-10 11:54:47,heater_bed,25.57
2024-09-10 11:54:48,extruder,25.56
2024-09-10 11:54:48,extruder1,71.29
2024-09-10 11:54:48,extruder2,24.66
2024-09-10 11:54:48,heater_bed,25.58
2024-09-10 11:54:49,extruder,25.55
2024-09-10 11:54:49,extruder1,71.5
2024-09-10 11:54:49,extruder2,24.67
2024-09-10 11:54:49,heater_bed,25.6
2024-09-10 11:54:51,extruder,25.57
2024-09-10 11:54:51,extruder1,71.64
2024-09-10 11:54:51,extruder2,24.7
2024-09-10 11:54:51,heater_bed,25.57
2024-09-10 11:54:52,extruder,25.57
2024-09-10 11:54:52,extruder1,72.01
2024-09-10 11:54:52,extruder2,24.7
2024-09-10 11:54:52,heater_bed,25.58
2024-09-10 11:54:53,extruder,25.58
2024-09-10 11:54:53,extruder1,72.23
2024-09-10 11:54:53,extruder2,24.71
2024-09-10 11:54:53,heater_bed,25.57
2024-09-10 11:54:54,extruder,25.57
2024-09-10 11:54:54,extruder1,72.44
2024-09-10 11:54:54,extruder2,24.71
2024-09-10 11:54:54,heater_bed,25.57
2024-09-10 11:54:56,extruder,25.56
2024-09-10 11:54:56,extruder1,72.69
2024-09-10 11:54:56,extruder2,24.71
2024-09-10 11:54:56,heater_bed,25.58
2024-09-10 11:54:57,extruder,25.58
2024-09-10 11:54:57,extruder1,72.9
2024-09-10 11:54:57,extruder2,24.71
2024-09-10 11:54:57,heater_bed,25.58
2024-09-10 11:54:58,extruder,25.56
2024-09-10 11:54:58,extruder1,73.03
2024-09-10 11:54:58,extruder2,24.68
2024-09-10 11:54:58,heater_bed,25.58
2024-09-10 11:54:59,extruder,25.6
2024-09-10 11:54:59,extruder1,73.09
2024-09-10 11:54:59,extruder2,24.69
2024-09-10 11:54:59,heater_bed,25.57
2024-09-10 11:55:01,extruder,25.59
2024-09-10 11:55:01,extruder1,73.12
2024-09-10 11:55:01,extruder2,24.7
2024-09-10 11:55:01,heater_bed,25.59
2024-09-10 11:55:02,extruder,25.6
2024-09-10 11:55:02,extruder1,73.09
2024-09-10 11:55:02,extruder2,24.7
2024-09-10 11:55:02,heater_bed,25.59
2024-09-10 11:55:03,extruder,25.57
2024-09-10 11:55:03,extruder1,72.91
2024-09-10 11:55:03,extruder2,24.71
2024-09-10 11:55:03,heater_bed,25.59
2024-09-10 11:55:04,extruder,25.57
2024-09-10 11:55:04,extruder1,72.89
2024-09-10 11:55:04,extruder2,24.71
2024-09-10 11:55:04,heater_bed,25.56
2024-09-10 11:55:06,extruder,25.59
2024-09-10 11:55:06,extruder1,72.96
2024-09-10 11:55:06,extruder2,24.72
2024-09-10 11:55:06,heater_bed,25.57
2024-09-10 11:55:07,extruder,25.57
2024-09-10 11:55:07,extruder1,73.11
2024-09-10 11:55:07,extruder2,24.71
2024-09-10 11:55:07,heater_bed,25.61
2024-09-10 11:55:08,extruder,25.58
2024-09-10 11:55:08,extruder1,73.24
2024-09-10 11:55:08,extruder2,24.72
2024-09-10 11:55:08,heater_bed,25.6
2024-09-10 11:55:09,extruder,25.61
2024-09-10 11:55:09,extruder1,73.26
2024-09-10 11:55:09,extruder2,24.73
2024-09-10 11:55:09,heater_bed,25.61
2024-09-10 11:55:11,extruder,25.57
2024-09-10 11:55:11,extruder1,73.35
